ROW ID,STATUS,ZONE,ODD_EVEN,ADDRESS RANGE - LOW,ADDRESS RANGE - HIGH,STREET DIRECTION,STREET NAME,STREET TYPE,SECOND STREET DIRECTION,BUFFER,WARD - LOW,WARD - HIGH
7485,ACTIVE,221,E,5900,5998,N,HARDING,AVE,,N,,
7461,ACTIVE,382,E,4016,4046,S,KOMENSKY,AVE,,N,,
7484,ACTIVE,221,O,5701,5799,N,HARDING,AVE,,N,,
7483,ACTIVE,221,E,5700,5798,N,HARDING,AVE,,N,,
7481,ACTIVE,221,E,5600,5698,N,HARDING,AVE,,N,,
7630,ACTIVE,19,O,1201,1209,S,AUSTIN,BLVD,,N,,
4185,ACTIVE,990,O,1307,1399,S,CALIFORNIA,AVE,,N,,
8119,ACTIVE,1268,O,4601,4699,N,WINTHROP,AVE,,N,46.0,46.0
1776,ACTIVE,5,E,1100,1198,S,MAY,ST,,N,25.0,25.0
3523,ACTIVE,1377,E,8600,8698,S,MARYLAND,AVE,,N,8.0,8.0
5680,ACTIVE,49,E,5804,5856,N,NAPOLEON,AVE,,N,41.0,41.0
6562,ACTIVE,1040,O,901,999,N,RACINE,AVE,,N,27.0,27.0
3297,ACTIVE,862,E,800,898,N,RACINE,AVE,,N,27.0,27.0
6092,ACTIVE,101,O,5101,5157,W,WINNEMAC,AVE,,N,45.0,45.0
447,ACTIVE,601,E,2800,2898,W,22ND,PL,,N,12.0,12.0
4730,ACTIVE,95,E,2906,2910,N,ALLEN,AVE,,N,35.0,35.0
7050,ACTIVE,362,E,4816,4880,W,ST PAUL,AVE,,N,37.0,37.0
1462,ACTIVE,252,E,5000,5042,S,CAMPBELL,AVE,,N,14.0,14.0
5564,ACTIVE,252,O,4601,4699,S,TROY,ST,,N,14.0,14.0
5265,ACTIVE,1773,E,6000,6098,S,KOLMAR,AVE,,N,13.0,13.0
362,ACTIVE,95,O,2905,2911,N,ALLEN,AVE,,N,35.0,35.0
1537,RESCINDED,671,E,9300,9398,S,CONSTANCE,AVE,,N,8.0,8.0
2301,ACTIVE,510,E,4814,4856,N,NORDICA,AVE,,N,41.0,41.0
4646,ACTIVE,1025,O,4701,4799,W,ERIE,ST,,N,28.0,28.0
2791,ACTIVE,143,E,1900,1972,N,ORCHARD,ST,,N,43.0,43.0
2861,ACTIVE,56,O,1101,1147,W,NORTH SHORE,AVE,,N,49.0,49.0
5037,ACTIVE,817,O,2601,2699,W,WALTON,ST,,N,26.0,26.0
645,ACTIVE,95,O,3239,3555,W,BELMONT,AVE,,N,35.0,35.0
3992,ACTIVE,1189,E,340,398,W,ILLINOIS,ST,,Y,42.0,42.0
6267,ACTIVE,143,O,415,457,W,ROSLYN,PL,,N,43.0,43.0
3116,RESCINDED,423,O,9101,9157,S,PAULINA,ST,,N,21.0,21.0
271,ACTIVE,12,O,2039,2059,W,95TH,ST,,N,19.0,19.0
11357,ACTIVE,1741,E,1730,1730,W,IRVING PARK,RD,,Y,47.0,47.0
1570,ACTIVE,670,E,9300,9398,S,CREGIER,AVE,,N,8.0,8.0
11355,ACTIVE,107,E,4700,4798,N,LAWNDALE,AVE,,N,35.0,35.0
2363,ACTIVE,30,E,5514,5556,S,OAK PARK,AVE,,N,23.0,23.0
10401,ACTIVE,154,E,1266,1272,N,WOLCOTT,AVE,,Y,1.0,1.0
1747,ACTIVE,93,E,2700,2742,N,LAWNDALE,AVE,,N,35.0,35.0
4015,ACTIVE,383,O,3701,3799,N,FREMONT,ST,,Y,46.0,46.0
